_id,Rank,Name,Rating,tagCount
65d0a2b567e0fa134945c85a,1,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,4.6,12
65d0a2b567e0fa134945c85b,2,Fruits Basket the Final Season,4.6,22
65d0a2b567e0fa134945c85c,3,Mo Dao Zu Shi 3,4.58,6
65d0a2b567e0fa134945c85d,4,Fullmetal Alchemist: Brotherhood,4.58,18
65d0a2b567e0fa134945c85e,5,Attack on Titan 3rd Season: Part II,4.57,13
65d0a2b567e0fa134945c85f,6,Jujutsu Kaisen,4.56,10
65d0a2b567e0fa134945c860,7,Attack on Titan The Final Season: Part II,4.56,9
65d0a2b567e0fa134945c861,8,Attack on Titan The Final Season,4.55,16
65d0a2b567e0fa134945c862,9,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train,4.54,17
65d0a2b567e0fa134945c863,10,Haikyuu!! Karasuno High School vs Shiratorizawa Academy,4.53,8
65d0a2b567e0fa134945c864,11,your name.,4.51,8
65d0a2b567e0fa134945c865,12,Haikyuu!! Second Season,4.51,7
65d0a2b567e0fa134945c866,13,Demon Slayer: Kimetsu no Yaiba,4.51,15
65d0a2b567e0fa134945c867,14,Hunter x Hunter (2011),4.51,9
65d0a2b567e0fa134945c868,15,A Silent Voice,4.51,12
65d0a2b567e0fa134945c869,16,Violet Evergarden Movie,4.5,5
65d0a2b567e0fa134945c86a,17,Haikyuu!! To the Top: Part II,4.5,7
65d0a2b567e0fa134945c86b,18,Heaven Official's Blessing Special,4.5,16
65d0a2b567e0fa134945c86c,19,That Time I Got Reincarnated as a Slime Season 2,4.48,18
65d0a2b567e0fa134945c86d,20,Given,4.48,11
65d0a2b567e0fa134945c86e,21,Code Geass: Lelouch of the Rebellion R2,4.47,15
65d0a2b567e0fa134945c86f,22,Mo Dao Zu Shi 2,4.46,16
65d0a2b567e0fa134945c870,23,Gintama: The Very Final,4.46,13
65d0a2b567e0fa134945c871,24,Link Click,4.46,9
65d0a2b567e0fa134945c872,25,Mob Psycho 100 II,4.46,10
65d0a2b567e0fa134945c873,26,Haikyuu!! To the Top,4.46,7
65d0a2b567e0fa134945c874,27,Fruits Basket 2nd Season,4.45,22
65d0a2b567e0fa134945c875,28,The Promised Neverland,4.45,19
65d0a2b567e0fa134945c876,29,Spirited Away,4.45,9
65d0a2b567e0fa134945c877,30,That Time I Got Reincarnated as a Slime Season 2: Part II,4.45,19
65d0a2b567e0fa134945c878,31,Heaven Official's Blessing,4.45,26
65d0a2b567e0fa134945c879,32,Ranking of Kings,4.45,8
65d0a2b567e0fa134945c87a,33,Mushoku Tensei: Jobless Reincarnation - Part II,4.45,15
65d0a2b567e0fa134945c87b,34,Gintama.: Shirogane no Tamashii-hen 2,4.44,13
65d0a2b567e0fa134945c87c,35,Clannad After Story,4.44,10
65d0a2b567e0fa134945c87d,36,Mo Dao Zu Shi,4.44,15
65d0a2b567e0fa134945c87e,37,Gintama': Enchousen,4.44,14
65d0a2b567e0fa134945c87f,38,Banana Fish,4.44,19
65d0a2b567e0fa134945c880,39,Douluo Dalu 2,4.44,7
65d0a2b567e0fa134945c881,40,Gintama Kanketsu-hen: Yorozuya yo Eien Nare,4.44,11
65d0a2b567e0fa134945c882,41,Gintama.,4.44,13
65d0a2b567e0fa134945c883,42,Gintama.: Shirogane no Tamashii-hen,4.44,13
65d0a2b567e0fa134945c884,43,Attack on Titan 3rd Season,4.44,13
65d0a2b567e0fa134945c885,44,Steins;Gate,4.44,10
65d0a2b567e0fa134945c886,45,Haikyuu!!,4.43,7
65d0a2b567e0fa134945c887,46,Gintama',4.43,15
65d0a2b567e0fa134945c888,47,One-Punch Man,4.43,13
65d0a2b567e0fa134945c889,48,Demon Slayer: Kimetsu no Yaiba - Mugen Train,4.43,16
65d0a2b567e0fa134945c88a,49,Gintama°,4.43,15
65d0a2b567e0fa134945c88b,50,Howl's Moving Castle,4.43,9
65d0a2b567e0fa134945c88c,51,Natsume's Book of Friends Season 6,4.43,13
65d0a2b567e0fa134945c88d,52,JoJo's Bizarre Adventure: Golden Wind,4.43,10
65d0a2b567e0fa134945c88e,53,JoJo's Bizarre Adventure: Stone Ocean,4.42,7
