_id,countTotalAnime,countTotalStudio,myGroup.addToSet[0],myGroup.addToSet[1],myGroup.addToSet[2],myGroup.addToSet[3],myGroup.addToSet[4],myGroup.addToSet[5],myGroup.addToSet[6],myGroup.addToSet[7],myGroup.addToSet[8],myGroup.addToSet[9],myGroup.addToSet[10],myGroup.addToSet[11],myGroup.addToSet[12],myGroup.addToSet[13],myGroup.addToSet[14],myGroup.addToSet[15],myGroup.addToSet[16],myGroupRatings.addToSet[0],myGroupRatings.addToSet[1],myGroupRatings.addToSet[2],myGroupRatings.addToSet[3],myGroupRatings.addToSet[4],myGroupRatings.addToSet[5],myGroupRatings.addToSet[6],myGroupRatings.addToSet[7],myGroupRatings.addToSet[8],myGroupRatings.addToSet[9],myGroupRatings.addToSet[10],myGroupRatings.addToSet[11],myGroupRatings.addToSet[12],myGroupRatings.addToSet[13],myGroupRatings.addToSet[14],myGroupRatings.addToSet[15],myGroupRatings.addToSet[16],myGroupRatings.addToSet[17]
Akio Watanabe,59,18,Studio Hibari,8-Bit,CoMix Wave Films,Lerche,A-1 Pictures,Bibury Animation Studios,J.C.Staff,Tatsunoko Production,Group TAC,SHAFT,10GAUGE,Passione,Summer 2008,AIC ASTA,Encourage Films,Manglobe,CONNECT,2.62,3.983333333333333,2.87,3.05,3.27,3.33,3.59,3.23,3.25375,2.99,3.69,3.4,3.625,2.62,3.18,3.23,3.7560000000000002,2.81
Minoru Maeda,57,8,MADHOUSE,Group TAC,Triangle Staff,Brain's Base,Toei Animation,Studio Junio,TMS Entertainment,,,,,,,,,,,3.53,3.44625,3.44,3.35,3.488125,3.435,3.4299999999999997,3.54,,,,,,,,,,
Yoshihiko Umakoshi,44,10,Bones,Plum,Winter 2019,Knack,OLM,Studio DEEN,MADHOUSE,Artland,TMS Entertainment,Toei Animation,,,,,,,,4.2219999999999995,3.29,3.43,3.44,3.596,3.02,3.58,4.316666666666666,3.5,3.45,,,,,,,,
Atsuko Nakajima,43,6,Studio DEEN,GONZO,LandQ Studios,Pierrot,OLM,Ashi Productions,,,,,,,,,,,,3.671176470588235,3.69,3.065,3.59,3.675,3.02,,,,,,,,,,,,
Shingo Araki,43,8,J.C.Staff,Agent 21,Toei Animation,Azeta Pictures,TMS Entertainment,Gallop,Buyuu,,,,,,,,,,,3.345,2.69,3.5042857142857144,3.31,3.44,3.47,3.62,,,,,,,,,,,
Masatomo Sudou,40,6,TMS Entertainment,J.C.Staff,Double Eagle,Toei Animation,V1 Studio,,,,,,,,,,,,,3.871764705882353,3.8,4.04,3.09,4,4.02,,,,,,,,,,,,
Takahiro Kishida,40,17,David Production,Pine Jam,Shuka,GoHands,CloverWorks,Triangle Staff,Radix Ace Entertainment,Zero-G Room,MADHOUSE,SHAFT,Nippon Animation,Production I.G,Group TAC,Brain's Base,A.C.G.T,8-Bit,SATELIGHT,4.43,3.7800000000000002,4.123333333333334,3.2,3.7,3.3449999999999998,3.4450000000000003,3.39,3.79,4.16,3.42,4.349,3.42,4.125,3.415,4.05,3.4766666666666666,
Sayuri Ichiishi,39,2,OLM,Grouper Productions,,,,,,,,,,,,,,,,3.4071052631578946,3.45,,,,,,,,,,,,,,,,
Akio Sugino,38,9,Sunrise,Toei Animation,Magic Bus,Circus Production,Tezuka Productions,Mushi Production,TMS Entertainment,MADHOUSE,Sanrio,,,,,,,,,3.3,3.3,3.2125,3.06,3.485454545454546,3.48,3.439090909090909,3.24,3.78,,,,,,,,,
Takashi Taniguchi,37,4,DLE,Winter 2016,ILCA,,,,,,,,,,,,,,,2.7271428571428573,2.23,2.31,2.8623809523809522,,,,,,,,,,,,,,
Naoyuki Onda,36,12,Production I.G,Manglobe,MADHOUSE,Gallop,AIC,Digital Frontier,Studio 4°C,GONZO,MAPPA,Studio DEEN,Sunrise,Khara,,,,,,3.9516666666666667,3.88,2.85,3.1,3.0877777777777777,3.645,3.95,3.4050000000000002,3.6574999999999998,3.585,3.88,3.47,,,,,,
Norihiro Matsubara,33,3,OLM,Pastel,Tezuka Productions,,,,,,,,,,,,,,,3.4289655172413793,3.473333333333333,3.58,,,,,,,,,,,,,,,
Youko Kikuchi,32,5,Studio DEEN,Production I.G,Project Team Sara,BEE TRAIN,Studio Fantasia,,,,,,,,,,,,,3.902727272727273,4.149090909090909,2.87,3.3866666666666667,3.15,,,,,,,,,,,,,
